clid,CellLineName,Tissue,parental_identifier,subtype,ReferenceDivisionTime
CORL23_LUNG,CORL23_LUNG,Lung,unknown,unknown,
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM,DBTRG05MG_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT,PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT,Head and Neck,unknown,unknown,
HCC4006_LUNG,HCC4006_LUNG,Lung,unknown,unknown,
NCIH1581_LUNG,NCIH1581_LUNG,Lung,unknown,unknown,
CALU1_LUNG,CALU1_LUNG,Lung,unknown,unknown,
NUGC4_STOMACH,NUGC4_STOMACH,Esophagus/Stomach,unknown,unknown,
NCIH1563_LUNG,NCIH1563_LUNG,Lung,unknown,unknown,
JHUEM2_ENDOMETRIUM,JHUEM2_ENDOMETRIUM,Uterus,unknown,unknown,
JHOM1_OVARY,JHOM1_OVARY,Ovary/Fallopian Tube,unknown,unknown,
SKOV3_OVARY,SKOV3_OVARY,Ovary/Fallopian Tube,unknown,unknown,
SNU761_LIVER,SNU761_LIVER,Liver,unknown,unknown,
SKNBE2_AUTONOMIC_GANGLIA,SKNBE2_AUTONOMIC_GANGLIA,Peripheral Nervous System,unknown,unknown,
LUDLU1_LUNG,LUDLU1_LUNG,Lung,unknown,unknown,
HCC1359_LUNG,HCC1359_LUNG,Lung,unknown,unknown,
PK1_PANCREAS,PK1_PANCREAS,Pancreas,unknown,unknown,
SNU466_CENTRAL_NERVOUS_SYSTEM,SNU466_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
SKLU1_LUNG,SKLU1_LUNG,Lung,unknown,unknown,
NCIH1838_LUNG,NCIH1838_LUNG,Lung,unknown,unknown,
SNU245_BILIARY_TRACT,SNU245_BILIARY_TRACT,Biliary Tract,unknown,unknown,
MKN74_STOMACH,MKN74_STOMACH,Esophagus/Stomach,unknown,unknown,
KYSE180_OESOPHAGUS,KYSE180_OESOPHAGUS,Esophagus/Stomach,unknown,unknown,
8505C_THYROID,8505C_THYROID,Thyroid,unknown,unknown,
KMRC1_KIDNEY,KMRC1_KIDNEY,Kidney,unknown,unknown,
CALU6_LUNG,CALU6_LUNG,Lung,unknown,unknown,
GOS3_CENTRAL_NERVOUS_SYSTEM,GOS3_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
HUH6_LIVER,HUH6_LIVER,Liver,unknown,unknown,
PK59_PANCREAS,PK59_PANCREAS,Pancreas,unknown,unknown,
TCCSUP_URINARY_TRACT,TCCSUP_URINARY_TRACT,Bladder/Urinary Tract,unknown,unknown,
HS939T_SKIN,HS939T_SKIN,Skin,unknown,unknown,
